id,AC093001.1,MUCL1,ROCR,HMGCS2,CYP4Z2P,CLCA2,SOX10,CT83,LINC01152,HORMAD1,CYP4Z1,ROPN1B,SPINK8,TFAP2B,TDRD1,ADH1C,ROPN1,PRSS33,GABRP,SDR16C5,CEACAM5,DLX6,CPHL1P,TSPAN8,FOXA1,LEMD1,LINC02188,CCL21,LINC02487,FREM2,SLC6A15,LINC00993,LINC01956,IYD,CEACAM7,ENSG00000240800,ABCC12,MIA,LINC01198,CYP4F8,KLHDC7A,TMC5,ANKRD30A,ABCA12,OCA2,LRRC31,TFF3,HGD,AC096996.2,REEP6,ZIC1,AR,AGR2,TTC6,LRG1,SLC44A4,AC020907.1,SMIM31,C7,TPSB2,UGT8,FCN2,CNTNAP2,SPDEF,TMEM213,ZBTB8B,COL9A1,ENSG00000254967,ELF5,CAPN13,OXGR1,SHC4,DLX6-AS1,SIDT1,PRAME,SOX9-AS1,ZBTB16,LINC01224,CPA3,AC008268.1,TPSAB1,TTYH1,SPHKAP,KIRREL3-AS1,CCKBR,C9orf152,AC024940.2,RLBP1,FAM19A3,CA6,AP001783.1,AARD,FABP4,PLA2G2A,BCAS1,LRFN2,EPGN,SLCO4A1-AS1,PRR15,ART3,PLEKHG7,CTSG,AC005077.4,LINC02015,POU4F1,HDC,AL157387.1,AC011247.1,OGN,GABBR2,MUC16,ST6GALNAC1,RASGEF1C,SOX8,AC015712.4,NDUFB4P11,CRABP1,SEC14L4,MS4A2,SLC27A6,S100A1,TPSD1,KNDC1,SCRG1,MLPH,SELP,NCMAP,CHRM3,AL022334.1,PCDH8,FCER2,ZIC4,EN1,TFCP2L1,SFRP1,MMRN1,ABCA8,TCAM1P,VGLL1,PTX3,CST2,DLGAP1,AC022101.1,DSC3,PLEKHB1,TMPRSS5,SYTL5,ENSG00000232224,PLS3-AS1,PLA2G4F,CRHR1,MAPK4,CYP4B1,GFRA3,OR7E22P,EPHA7,ABCC8,KRT9,AC245884.9,BLK,NRTN,GTF2IP7,OPRK1,SLC7A2,C8orf46,SCUBE2,AC021683.2,LINC00862,SOX6,FBN3,KYNU,TMEM45B,AC098936.1,CMTM5,OR2B6,C4B,LINC00160,ATP1A2,AC022148.1,MFAP4,KRT83,CILP,LINC00518,LILRA4,LAMP5,LINC01122,CNR2,AC069148.1,DRAIC,CD19,FOXD3,KCNK5,IMPDH1P8,SFRP4,NRK,HRASLS2,EXTL1,CD177,SERPINB5,GFRA1,CXCL14,LINC00504,CYP4F22,MSX2,RPSAP69,LINC00839,WNK3,SCN2B,FOXD3-AS1,TSPAN1,LINC00092,CMA1,KERA,C9orf170,ENSG00000253701,C1QL4,SVOPL
B12248,0.285,6.422,96.046,0.785,0,0.428,63.721,29.684,10.846,63.222,0.071,401.166,0.285,1.284,0,1.07,277.719,0.071,2023.955,0.428,0,0.214,0.285,1.713,2.926,0.071,3.068,38.532,8.848,4.567,0,0.571,2.426,0,0,0.214,0,41.03,2.069,0,0,1.07,1.427,0.357,7.635,0,1.356,0.143,0,0.785,11.702,7.278,9.062,0.357,1.356,1.427,1.57,0,22.763,0.071,22.263,0,0.928,5.28,40.102,0.642,1.855,0.071,264.019,0.642,10.918,24.975,1.142,4.781,133.294,55.159,0.571,0,2.854,0,0.071,244.325,7.421,9.419,0.285,0.428,124.588,0,1.284,1.57,2.569,8.277,32.61,1.498,1.284,0,0,6.993,0.499,4.21,0.357,0.428,0.071,0.285,0.357,0.428,0.571,50.235,7.278,0,1.142,0.928,0.214,33.038,0,2.712,0.428,0.571,0.143,0.714,1.427,0.143,0.285,135.934,3.996,14.057,5.494,95.118,1.57,0.928,5.78,3.782,20.693,10.846,458.394,6.922,3.425,1.713,2.64,2.141,12.487,2.569,0,30.755,116.311,0.999,0.143,0.428,0,0.071,0.999,0.428,0.143,0.928,0.785,13.201,0,0,2.069,5.923,4.71,0,0,7.136,0.571,8.634,0,0.214,5.352,0,17.839,0.571,0,1.927,0.285,1.927,0,1.356,4.495,25.688,0.143,71.999,0.071,5.066,24.118,0.143,3.282,1.284,0.428,12.416,0.143,106.107,0.999,40.887,1.142,0.071,0.143,0.285,14.842,60.082,56.015,0,0.428,0.856,0.571,4.567,4.71,0.285,0.357,3.639,6.636,0,0.856,0.714,0.714,0.143,2.426
B14377,1588.443,1564.719,0.383,230.74,134.646,246.955,2.344,0,0.287,0.191,1260.318,0.478,161.097,328.173,1.148,2.966,0.191,0,6.457,138.951,1.913,0.096,239.493,25.973,274.411,0.048,0,20.424,0.191,0.191,0,87.102,0,20.807,4.353,64.573,46.349,0.335,0,105.038,20.855,3.396,104.704,52.902,0.143,2.105,5.501,45.44,18.798,51.563,0.239,910.046,134.646,15.115,5.596,190.801,0.048,42.714,89.637,9.279,0.574,0.909,37.883,181.952,0.048,0,0.287,5.596,49.123,10.571,0.048,0.813,0.287,45.105,0.096,4.209,16.885,0.048,8.61,26.834,6.17,1.77,0,0,0,24.92,0.143,0.048,0.239,0,0.143,4.066,53.524,3.683,42.522,1.483,2.296,0.143,46.636,0.526,9.71,1.244,11.288,1.004,0,2.2,44.627,1.148,121.923,0,0.43,6.649,0.239,2.631,0.048,0.048,0.813,0,0.765,1.339,1.052,0.335,1.339,3.013,441.535,33.913,1.578,2.583,0.096,0.143,0.957,0.048,0.43,1.052,52.95,25.016,25.303,0.096,0.239,1.865,2.774,0.909,0,2.057,1.435,0.239,0.861,0.143,0,7.031,0.143,27.503,18.415,0.765,0,0.43,1.578,0,0.096,1.291,0.143,4.066,0,178.747,1.387,16.119,0.191,0.909,1.244,0.048,19.802,40.561,0.143,0.143,0.096,8.275,3.444,11.193,0.048,91.263,0,93.368,0,0.813,33.961,0.048,0.574,0.096,27.647,2.248,0.574,6.792,0.048,174.107,13.728,1.865,0.957,0.335,3.013,8.371,169.803,15.067,1.77,28.651,0.048,0.765,0.717,1.578,3.157,7.462,0.048,0.335,0.957,0.048,1.244,0,0.096
B15298,570.15,8395.857,0,0.998,80.258,704.911,0.091,0,0,0.136,132.358,0.317,8.479,18.092,64.297,0.725,0,0,0.091,7.119,0.589,0,15.825,11.971,175.752,0.091,0,1.043,0.045,0.045,0.091,1.814,0,1.542,0,1.814,50.603,0,0,63.209,24.531,116.125,2.494,33.146,0.045,3.083,0.227,35.232,9.794,41.036,7.98,332.64,154.44,4.353,28.34,28.793,0.317,8.071,28.884,4.126,16.822,4.625,8.162,142.152,0.862,0,0,0.408,0.136,104.744,0,0.227,0.091,54.14,0.181,2.585,0.771,1.27,9.069,15.553,2.358,1.768,0,0,0,27.206,0.091,0,0.181,0,0,30.743,43.122,47.656,15.961,1.587,2.176,0.317,15.417,0.136,1.043,0.091,10.746,2.947,0,2.811,0.227,0.272,1.406,0,1.859,0.408,0,0.363,0,1.043,6.121,0,0.363,0,2.675,0.499,49.787,0.408,263.129,12.333,0.227,0.272,1.27,0,0.544,0.725,1.315,2.358,4.172,1.859,4.897,1.36,0.136,1.043,0.317,0.181,0,0.091,2.176,0.317,18.591,0.408,0,11.2,0.408,0,21.039,0,0.091,0.816,0.816,0.091,0.091,0.725,1.406,3.854,0.045,2.585,0.181,13.603,0,2.358,4.036,0.952,158.204,44.527,0.136,0,1.723,13.558,1.134,0.725,0.045,17.276,0.045,47.565,0,0.363,8.615,0,0.499,0.589,0.725,1.088,0,13.15,0.181,30.244,0.862,2.993,0.725,22.626,0.544,6.484,61.667,6.62,0.227,14.601,0,0.045,0.363,0,0.68,31.332,0,0.091,0.363,0,0.136,0.136,0.453
B16268,0.039,0.347,15.686,0,0,0.077,124.176,12.564,2.505,0.308,0.308,10.791,0.077,0.424,0.077,0.116,18.923,19.694,1436.537,41.238,0.154,5.974,0.039,2.813,2.389,19.193,7.939,3.314,13.142,1.927,14.761,0.039,13.759,0.193,0.077,0,0,12.603,0.963,0.077,0.925,3.815,0.039,0.848,0.809,0,0.154,2.698,0.039,0.385,36.574,1.31,9.943,0.116,0.116,1.657,7.438,0.077,1.426,1.542,26.67,0.27,1.696,0,17.382,0.886,1.349,0,201.911,0.424,1.966,32.682,4.316,0.578,276.216,12.179,0.462,0.501,4.74,0.039,0.154,20.696,14.452,1.041,0.039,1.58,131.922,5.897,0.154,0.27,3.469,256.213,15.455,2.428,0.039,0,0.077,0.617,3.083,48.175,0.116,0.54,0,0.501,12.14,0,0,26.593,4.933,2.081,22.97,0.039,0.039,0.385,6.282,9.789,0.963,0.925,0.039,4.239,116.236,0,0.193,22.777,43.28,0.578,19.964,3.661,3.045,0.617,0,4.278,51.643,97.159,1399.115,0.385,0.54,6.436,38.733,19.81,0.231,26.824,0.077,28.635,342.312,55.883,0.27,0.462,1.773,2.775,4.394,1.079,0.925,0.231,1.041,0.809,0.154,1.426,0.039,0.039,2.89,0,1.966,1.002,6.629,3.893,0.424,0,2.89,2.698,13.682,1.542,0.501,0.154,0.385,9.905,2.043,0.039,3.661,5.164,3.546,11.562,0.154,0.039,6.706,0.424,0,2.582,0.039,0.039,0.963,139.399,0.578,58.696,1.387,1.966,0.694,1.233,111.535,2.274,93.883,0.231,0.039,1.31,3.16,15.956,2.081,0.039,6.899,6.475,0.154,0.116,0.154,4.509,0,2.775,3.777
SD0027,0.036,0.945,10.361,0.036,0.327,0.073,197.254,23.121,2.145,8.761,1.345,13.524,0.109,0,0.109,0,8.289,7.198,878.047,0.036,0.109,0.036,0.109,0.4,3.781,4.035,10.252,1.381,11.633,3.272,0.909,0,5.926,0,0.254,0,0.109,3.744,5.744,0,0.145,15.559,0.145,0.473,7.707,0.109,0.364,3.381,0,1.272,4.69,0.8,5.126,0.291,14.687,1.127,15.705,0,0.182,0.218,24.757,0.036,1.672,3.49,30.537,0.182,0.145,0,237.716,0.291,9.525,13.378,0.036,3.49,76.96,14.978,0,0.909,0,0.073,0.327,57.184,2.654,4.908,0.582,1.781,116.295,3.454,18.031,0.036,2.545,7.998,0.182,1.563,1.454,0.036,0.073,2.472,0.836,89.575,0.145,0,1.818,0.036,0.291,0.073,0.073,8.18,0.4,19.922,274.251,2.109,4.835,2.654,1.018,9.706,55.475,1.127,0,4.181,51.804,0,1.163,3.308,21.521,0.473,5.926,0.727,1.563,4.435,0.145,2.399,37.808,110.624,403.888,0.036,1.345,32.718,219.757,18.468,0,8.47,0,22.067,93.61,7.961,0.364,5.308,2.072,0.582,0.945,2.29,5.344,3.635,10.47,0.291,0.036,0.073,2.981,1.163,11.379,0.473,0.291,1.163,28.428,4.581,0.654,0.036,9.634,10.615,33.409,0.436,0.145,0.145,5.053,132.545,0.073,0.036,2.581,2.763,0.291,3.054,2.908,3.417,2.763,1.163,0.364,1.6,0.182,1.054,0.291,62.964,1.272,2.836,0.109,0.473,0.327,0.073,16.214,1.163,4.726,0.073,0.109,0.509,0.4,8.943,5.889,0,1.454,5.38,6.216,0,0,2.436,0.291,3.963,11.161
SD0032,0.345,4.611,24.03,0.22,0.157,0.753,205.161,0,1.223,12.893,3.357,34.695,0.063,0.565,16.658,1.349,33.66,4.172,418.854,0.188,0.439,33.566,0.251,0.408,2.321,10.76,10.227,99.632,0.376,1.663,0.376,0.031,11.921,0.251,0.031,0.063,0.031,4.455,0.878,0.063,0.251,0.816,0.69,0.22,0.627,0,4.768,0.659,0,4.956,30.46,2.98,7.874,0.157,1.851,2.478,7.372,0,9.944,3.953,63.681,0.031,0.847,21.645,254.694,5.427,43.165,0.031,129.12,0.345,10.885,13.521,178.057,13.019,39.997,9.913,0.376,0.722,4.8,0.094,3.639,51.98,0.878,1.004,0.439,0.878,0.784,0.627,9.725,14.744,1.945,44.702,26.163,1.569,0.878,0.031,0,2.353,0.533,136.241,0.094,1.223,1.474,0.031,0.659,0.22,0.063,5.082,7.717,0.063,20.046,0.722,1.506,23.622,0.784,1.129,136.837,0.125,0.063,11.858,7.843,0.376,0.251,37.958,3.043,15.654,16.438,1.067,3.482,10.352,2.008,4.611,134.954,25.818,467.415,11.701,3.043,9.442,7.466,151.361,0.753,20.987,0,47.463,148.977,2.259,0.471,2.227,0.91,0.094,0.031,15.56,0.157,2.384,0.282,16.501,0.063,1.129,0.972,3.137,7.278,0.408,0,9.756,7.058,1.631,0.125,0,10.509,0.816,12.234,0.627,0.659,6.18,0.408,4.674,0,0.816,1.255,20.359,1.851,49.126,0,5.647,4.486,0.157,2.102,1.757,0.031,4.674,0.722,44.514,0.439,45.863,0.596,0.314,17.661,0.282,34.413,3.012,28.955,0.376,0.502,7.278,0.627,33.409,9.913,0.063,0.722,4.109,0.251,0.753,0.408,3.262,1.631,2.008,23.339
SD0033,1.194,41.025,12.358,3.354,0.597,3.032,210.685,3.813,0.459,17.366,1.194,4.181,0.276,2.067,0.046,2.067,17.733,4.089,1778.326,1.93,0.23,0.459,0.643,21.638,6.615,3.675,1.93,19.341,5.834,2.251,7.213,0.873,0.597,0.138,0.046,0.551,0.138,74.608,1.24,0.413,1.011,0.735,0.23,0.965,12.772,0.184,3.262,0.276,0.046,3.951,5.88,8.407,18.606,0.505,1.011,1.654,4.135,0.092,21.225,14.15,42.909,0,0.827,7.121,12.496,2.251,1.838,0,13.461,1.24,0.689,3.905,0,4.548,100.335,7.994,0.092,2.894,6.156,0.276,13.461,1.608,4.043,1.7,3.492,1.194,36.661,0.459,95.649,0.919,1.7,42.633,38.177,13.461,0.413,0.459,0,0.138,3.4,7.994,0.092,5.191,0.781,0.184,1.792,1.7,0.276,34.272,9.28,60.229,21.087,0.597,0.184,3.216,0.138,7.994,386.087,0,0.046,5.605,2.894,0.873,0.184,38.59,11.118,7.351,0.597,5.651,0,0.046,4.87,0.781,6.524,14.058,220.93,3.583,4.135,7.58,43.138,2.159,1.424,2.986,0,33.537,566.175,7.075,0.781,8.683,0.551,0.689,25.405,1.011,2.711,4.64,5.605,0.781,0.597,0,0,5.467,18.239,0.046,0.919,18.193,29.953,17.136,2.021,0.046,1.562,10.383,11.072,3.262,1.608,2.435,2.389,11.577,0,2.251,3.446,39.555,0.138,38.085,0,6.386,10.842,0.643,3.078,1.746,0.276,21.041,7.259,41.301,0.597,20.673,0.643,0.322,4.456,0.551,55.451,77.364,180.64,0.413,2.021,0.597,0.551,36.661,5.605,0.368,13.185,12.312,7.58,1.562,0.046,1.194,2.389,0.459,0.965
SD0054,126.767,567.385,0.05,1.396,4.636,308.119,0.15,10.468,0,1.545,13.659,0.1,12.811,15.952,23.579,0.548,0,0,0.249,28.713,0.598,0,1.994,4.486,104.235,0.05,0.05,37.437,0,0,0,48.952,0.997,23.928,0,39.082,8.375,0,0,9.82,0.249,25.623,33.15,88.134,0.05,0.798,3.29,92.072,4.337,386.232,0.1,186.935,41.524,3.888,197.553,0.498,0.199,0.05,0.449,3.44,1.396,5.982,10.419,157.823,3.838,0.05,0.05,1.944,2.443,73.029,0,0.15,0,45.911,0.299,3.44,1.495,0,10.169,0.15,10.219,1.994,0,0.798,0.05,24.526,0.399,0,0.199,0.05,3.988,40.079,2.692,0.449,0.399,2.792,4.287,0.798,17.647,0.349,0.05,0.598,1.994,18.594,0.05,13.21,14.706,0.349,0.698,0,6.53,0.15,0,0.548,0.1,0.15,2.343,0.15,0.05,0.05,0.399,0.05,5.683,3.739,248.748,4.935,0.648,2.941,0.05,0,0.05,0,5.483,3.34,4.287,1.695,0.299,6.73,0.1,0.449,0.05,0.05,1.595,0.199,4.287,0.299,0.798,0.15,0.199,3.141,0.1,0.847,56.13,0,0,1.296,0.698,0.1,0,0.299,1.595,0.349,0.15,1.545,2.243,7.328,0.1,7.278,0.349,0.249,207.523,28.015,0,0,2.243,36.789,2.841,0,0.249,24.027,0.449,9.222,0.05,3.041,3.888,0,0,0.698,0.05,1.844,0.05,2.293,0.249,47.257,0.399,30.907,2.991,0.498,23.629,1.645,9.073,0.698,1.196,11.465,0.199,1.495,0.449,0.399,0.05,59.57,0,0.249,0,0.05,1.396,0.199,0
SD0062,71.307,200.79,0.327,46.12,7.757,3.458,12.103,0,0.047,0.047,11.729,6.262,4.206,154.623,12.476,3.131,3.925,0.093,10.654,1.589,10.42,0,3.177,1.635,121.866,0.093,1.822,99.484,0.14,0.234,0,7.243,0.561,1.542,0.794,5.934,0.28,0.421,0.047,0.327,6.075,9.626,3.925,7.196,0.093,34.766,133.689,66.12,0.981,39.625,10.467,88.783,152.006,9.439,11.448,121.586,3.084,0.654,96.54,12.71,15.14,0.748,2.009,187.566,0.935,0.234,0.187,1.776,243.359,4.86,2.85,0.935,0.14,21.635,22.289,2.196,0.561,0.28,13.691,1.028,10.934,1.729,0.093,9.906,0,15.654,4.439,0.14,1.635,0.093,17.897,6.495,23.925,6.168,6.402,0.421,0.047,0.093,3.364,10.42,0.467,3.785,25.513,0.514,5.654,2.056,2.103,1.402,9.532,0.093,3.505,1.776,0.701,4.439,0.093,2.196,47.896,0.28,0.421,1.776,2.57,1.308,1.262,1.262,115.371,31.168,4.299,0.047,0.187,0,25.28,4.019,2.243,17.056,274.76,10.607,11.822,18.224,0.28,4.439,2.383,1.168,3.458,11.542,17.43,1.075,0.748,0.421,0,1.682,0.467,0.374,1.215,0.093,0.093,1.168,0.794,0,0,19.532,2.196,5.047,0,20.607,1.075,152.66,2.477,0.981,0.888,2.663,141.492,13.878,0,0.187,0.234,28.925,0.561,2.056,0.187,77.989,1.215,80.979,0.234,14.953,22.943,0.14,9.346,0.28,5.42,30.747,0.794,25.654,0.234,87.241,1.822,2.29,2.757,0.701,14.486,99.11,125.044,1.308,5.654,4.019,1.075,2.523,3.084,1.542,0.421,18.411,2.85,1.682,0.421,0.047,4.346,2.056,0.14
SD0077,3.997,22.029,0.091,0.045,0.273,444.343,0.091,0.863,0,7.222,1.317,0.636,0.091,0.545,13.762,0.091,0.954,0,2.998,128.72,0.727,0,0.045,0.273,1.408,2.725,0.908,9.992,0.136,0.727,18.849,0.681,0.045,0.182,0.273,0.727,0.045,0.045,0,0,0.136,1.59,1.681,221.422,0.318,0,1.181,0.045,0,15.352,0.318,2.861,11.128,0.318,21.892,1.317,0.045,0.091,0.045,19.303,4.542,0,17.714,0.772,0,0,0.136,0.091,1.59,1.135,0.273,0.318,1.817,3.089,82.028,1.862,0.045,0,24.618,0.045,19.576,2.544,0.045,0,0,0.454,2.453,0,0.454,0.136,0.318,0.136,1380.402,0.091,1.045,0.045,44.103,0.999,0.545,0.227,0.182,6.995,0.818,0.954,0,3.361,0.454,0.045,0.5,0,0.227,11.491,0.091,1.544,0,0.045,1.226,0.318,1.045,0.182,0.999,2.589,2.589,0,9.947,0.045,0.318,34.837,0,0,0.363,0,9.811,19.349,0.772,0.59,0.999,0.136,8.176,4.996,0,0.363,0.136,2.316,1.317,0.409,0.363,1.317,0.273,29.069,0.908,0.273,1.635,0.182,0.318,0,0.136,1.544,0.091,0.182,0.409,0.045,0.045,1.681,0.227,4.678,0.182,0.045,4.269,0.318,59.182,36.109,0,0,0.091,0.59,0.091,0.045,0,12.763,0.136,1.09,0.409,0.318,22.892,0,0.273,0.045,0,0.227,0,7.903,0.182,6.904,0.545,0.454,0.454,1.771,404.237,6.631,346.736,12.672,63.588,28.07,0,2.725,0.636,1.363,0.045,6.313,0.182,0.318,0.045,0.091,0.045,0.318,2.544
